'à'   |10/16/20:17:33:14
'à'   |10/16/20:17:33:15
'à'   |10/16/20:17:33:15
'ï'   |10/16/20:17:34:18
'ø'   |10/16/20:17:34:18
'å'   |10/16/20:17:34:18
Key.space   |10/16/20:17:34:18
'û'   |10/16/20:17:34:19
'å'   |10/16/20:17:34:19
'ô'   |10/16/20:17:34:19
'å'   |10/16/20:17:34:19
'ã'   |10/16/20:17:34:19
'û'   |10/16/20:17:34:19
Key.enter   |10/16/20:17:34:20
'ï'   |10/16/20:17:34:40
'ø'   |10/16/20:17:34:40
'å'   |10/16/20:17:34:41
Key.space   |10/16/20:17:34:41
'ô'   |10/16/20:17:34:41
'â'   |10/16/20:17:34:41
'â'   |10/16/20:17:34:41
Key.space   |10/16/20:17:34:42
Key.shift   |10/16/20:17:34:42
'Û'   |10/16/20:17:34:42
'ù'   |10/16/20:17:34:43
'ñ'   |10/16/20:17:34:43
'ë'   |10/16/20:17:34:43
Key.shift   |10/16/20:17:34:43
'Ñ'   |10/16/20:17:34:43
'ä'   |10/16/20:17:34:43
'ø'   |10/16/20:17:34:43
'ó'   |10/16/20:17:34:44
'ò'   |10/16/20:17:34:44
'å'   |10/16/20:17:34:44
<110>   |10/16/20:17:34:45
'ç'   |10/16/20:17:34:45
'í'   |10/16/20:17:34:45
Key.enter   |10/16/20:17:34:46
Key.up   |10/16/20:17:34:47
Key.up   |10/16/20:17:34:47
Key.enter   |10/16/20:17:34:47
'ï'   |10/16/20:17:34:49
'ø'   |10/16/20:17:34:49
'å'   |10/16/20:17:34:49
Key.space   |10/16/20:17:34:50
'ô'   |10/16/20:17:34:50
'â'   |10/16/20:17:34:50
'â'   |10/16/20:17:34:50
Key.space   |10/16/20:17:34:50
'è'   |10/16/20:17:34:51
'ã'   |10/16/20:17:34:51
'ø'   |10/16/20:17:34:51
'ä'   |10/16/20:17:34:51
'â'   |10/16/20:17:34:51
'.'   |10/16/20:17:34:52
Key.enter   |10/16/20:17:34:52
